month,nltk,stanford-nlp,python,r,numpy,scipy,pandas,pytorch,keras,nlp,hadoop,python-3.x,tensorflow,lstm,seaborn,plotly,scikit-learn,BeautifulSoup
2017-01-01,56,49,14388,3519,802,138,1540,4,209,125,483,2033,779,31,45,72,233,246
2017-02-01,77,51,14901,3706,931,175,1567,3,241,149,537,2218,963,45,48,93,232,235
2017-03-01,86,56,17280,4637,1092,219,1989,14,366,161,602,2722,1127,80,62,120,282,253
2017-04-01,94,62,15752,4280,1031,229,1840,23,323,158,537,2397,1043,62,64,100,273,219
2017-05-01,82,61,16291,4349,965,191,1923,25,382,177,493,2514,1093,59,55,85,246,236
2017-06-01,87,45,16173,4490,961,195,1986,55,349,141,477,2569,1200,78,55,103,266,252
2017-07-01,83,41,17064,4611,1022,177,2084,34,421,141,437,2819,1294,92,73,106,334,270
2017-08-01,93,46,17472,5051,1020,185,2170,35,372,161,467,2765,1234,72,80,131,295,253
2017-09-01,80,48,16949,4641,963,153,2043,41,389,117,385,2817,995,80,64,109,250,233
2017-10-01,79,35,18735,5053,1174,210,2305,49,391,133,378,3280,1187,81,46,86,276,233
2017-11-01,66,46,18935,5117,1156,223,2289,87,475,150,388,3426,1158,88,52,114,277,240
2017-12-01,82,30,16207,4022,959,200,1950,59,399,139,345,3074,991,78,36,74,251,232
2018-01-01,83,30,16307,4209,1003,183,2190,64,446,30,362,3189,1141,70,58,93,238,251
2018-02-01,85,38,16393,4517,1012,172,2216,65,439,38,374,3462,1053,64,56,86,301,277
2018-03-01,106,63,17970,5112,1058,196,2671,89,560,63,396,4179,1358,98,68,83,350,254
2018-04-01,57,61,17030,4746,968,174,2485,99,582,61,357,3994,1396,107,65,122,332,325
2018-05-01,65,60,17639,4738,960,200,2580,104,605,60,322,4387,1444,97,74,131,287,304
2018-06-01,63,53,16860,4508,932,173,2694,124,536,53,276,4278,1206,92,75,125,298,277
2018-07-01,77,72,17988,4417,1043,214,2991,129,658,72,286,4591,1303,104,88,111,312,320
2018-08-01,83,76,17874,4141,978,215,2915,127,672,76,283,4779,1270,107,104,119,322,241
2018-09-01,55,62,16158,3809,900,191,2542,114,540,62,258,4377,1018,88,78,105,252,283
2018-10-01,75,79,18329,4394,1008,166,2895,132,584,79,265,4691,1083,85,92,85,317,320
2018-11-01,59,79,18215,4278,1021,193,2921,161,601,79,233,4494,1078,93,82,109,280,257
2018-12-01,56,72,15537,3392,898,146,2389,181,630,72,183,4254,917,95,92,73,280,260
2019-01-01,46,29,17167,3997,921,140,2831,196,687,142,194,4783,1052,90,97,107,293,306
2019-02-01,71,15,17749,4301,1077,170,2976,196,645,174,210,4590,1018,104,80,93,320,313
2019-03-01,72,17,20144,4552,1215,203,3300,223,739,226,216,5257,1289,89,118,113,318,359
2019-04-01,71,21,20054,4660,1143,165,3249,233,879,181,168,5734,1275,86,117,117,347,351
2019-05-01,48,20,19128,4359,1017,193,3216,209,764,203,185,5293,1140,95,118,114,352,312
2019-06-01,44,16,17515,4005,906,170,2942,201,667,189,160,4758,1028,72,97,103,290,374
2019-07-01,63,13,20041,4265,1077,175,3535,241,837,188,178,5767,1145,122,122,142,328,372
2019-08-01,57,24,20257,4486,1111,212,3675,253,889,237,216,6133,1332,112,119,137,323,322
2019-09-01,54,16,19207,4474,1020,135,3298,260,786,207,207,5748,1217,93,90,139,324,330
2019-10-01,73,27,23414,5138,1310,188,4098,300,929,272,260,6621,1468,131,130,174,415,350
2019-11-01,72,14,23602,4883,1297,199,3873,332,902,270,212,6151,1513,129,133,169,412,376
2019-12-01,82,13,20058,4150,1118,159,3519,343,834,242,157,5200,1392,137,112,156,439,315
